Pressure,Temperature,Catalyst,Time,Yield
7.31,96.6,2.22,35.5,50.0
11.63,102.5,2.27,29.6,61.8
9.99,128.2,3.96,35.8,52.8
8.99,125.7,3.46,21.5,66.4
5.67,109.0,4.37,23.8,82.6
5.67,110.1,4.75,31.0,89.9
4.94,116.3,3.17,38.9,94.3
11.0,95.0,3.79,21.5,50.0
9.01,104.6,3.5,20.9,65.9
9.81,103.3,4.94,23.1,68.2
4.65,105.0,4.49,32.8,50.4
11.77,127.2,4.74,28.0,76.7
10.74,106.2,2.76,36.5,99.2
6.09,102.7,4.32,21.4,50.0
5.86,115.2,2.8,23.9,92.5
5.88,129.6,2.63,26.0,50.0
6.78,104.7,4.83,32.5,66.0
8.44,98.1,2.06,33.7,50.0
7.74,109.3,4.9,22.5,100.0
6.68,124.9,2.45,38.9,55.9
9.09,117.0,4.46,26.8,100.0
5.55,127.7,2.83,34.3,50.0
6.69,133.4,3.05,30.5,50.0
7.25,126.7,2.65,24.5,50.0
7.92,119.2,3.76,36.9,100.0
10.39,114.7,3.04,36.4,100.0
6.0,96.6,3.97,27.9,50.0
8.36,134.4,2.05,31.8,50.0
8.94,110.3,2.19,25.2,100.0
4.85,101.1,2.3,33.8,50.0
9.06,121.7,3.26,26.2,98.5
5.78,106.4,4.44,36.9,73.5
4.99,118.4,4.66,24.3,94.3
11.62,118.5,2.73,20.3,100.0
11.74,112.8,3.72,25.4,100.0
10.56,128.4,4.31,23.8,50.0
6.78,105.6,2.87,30.2,62.6
5.23,112.9,3.23,24.1,87.4
9.63,116.5,3.57,35.3,100.0
7.8,121.5,2.4,24.8,84.1
5.42,126.4,2.08,34.1,50.0
8.21,110.8,2.46,31.6,100.0
4.76,120.8,3.88,39.7,79.9
11.32,101.0,2.22,40.0,50.0
6.44,132.3,2.57,37.4,50.0
9.47,110.3,3.01,35.2,100.0
6.84,124.2,2.23,27.7,55.2
8.4,95.8,2.58,35.1,50.0
8.6,103.2,4.73,39.1,65.7
5.89,114.5,2.06,20.5,88.2
11.77,130.1,3.96,30.8,50.0
10.31,116.1,3.15,24.4,100.0
11.55,132.2,4.02,31.2,50.0
